iter	Passed	Remaining
398	130334	32991
399	130632	32658
400	130941	32327
401	131235	31992
402	131482	31647
403	131798	31318
404	132069	30979
405	132347	30642
406	132678	30317
407	133010	29992
408	133334	29666
409	133639	29335
410	133934	29002
411	134204	28664
412	134483	28329
413	134792	28000
414	135079	27666
415	135364	27333
416	135665	27002
417	135968	26673
418	136247	26338
419	136524	26004
420	136822	25674
421	137126	25345
422	137448	25020
423	137716	24684
424	138074	24366
425	138373	24036
426	138686	23709
427	138981	23380
428	139283	23051
429	139571	22720
430	139863	22391
431	140158	22062
432	140491	21738
433	140798	21411
434	141100	21084
435	141397	20755
436	141733	20432
437	142006	20101
438	142264	19767
439	142596	19444
440	142925	19121
441	143224	18794
442	143543	18469
443	143841	18142
444	144178	17819
445	144503	17495
446	144760	17163
447	145054	16836
448	145318	16506
449	145636	16181
450	145913	15853
451	146236	15529
452	146582	15208
453	146875	14881
454	147169	14555
455	147455	14228
456	147750	13902
457	148071	13578
458	148339	13250
459	148597	12921
460	148893	12596
461	149187	12270
462	149468	11944
463	149770	11620
464	150095	11297
465	150365	10970
466	150645	10645
467	150935	10320
468	151271	9998
469	151628	9678
470	151923	9354
471	152237	9031
472	152547	8707
473	152837	8383
474	153123	8059
475	153410	7734
476	153691	7410
477	153993	7087
478	154263	6763
479	154565	6440
480	154841	6116
481	155114	5792
482	155396	5469
483	155716	5147
484	155990	4824
485	156279	4501
486	156548	4178
487	156861	3857
488	157186	3535
489	157475	3213
490	157736	2891
491	158051	2569
492	158369	2248
493	158730	1927
494	159035	1606
495	159334	1284
496	159648	963
497	159955	642
498	160217	321
499	160524	0
