iter	MultiClass
305	0.8781346639
306	0.8774560293
307	0.8750459035
308	0.8740793228
309	0.8716780345
310	0.8699331284
311	0.8681046804
312	0.8663984299
313	0.8657620112
314	0.8647490819
315	0.8635547638
316	0.8619510651
317	0.8591847738
318	0.8582576752
319	0.8570517222
320	0.8558372498
321	0.8529233932
322	0.8511313121
323	0.8494461695
324	0.8486578623
325	0.8469305038
326	0.8450005213
327	0.8440573374
328	0.8416232427
329	0.839684995
330	0.8384634018
331	0.8375241597
332	0.8351121902
333	0.8341905594
334	0.8327500025
335	0.8317703247
336	0.8298467
337	0.828804334
338	0.8272420883
339	0.8264397303
340	0.8250520706
341	0.8237890244
342	0.8224618912
343	0.821131134
344	0.8207442602
345	0.8187107722
346	0.8174600601
347	0.816402626
348	0.814737765
349	0.812621816
350	0.8116299947
351	0.8105088552
352	0.8083177567
353	0.8064904531
354	0.8051310221
355	0.8043426514
356	0.8033706665
357	0.8024572372
358	0.8017398198
359	0.8004226049
360	0.7981693904
361	0.7958727519
362	0.7949165344
363	0.7934081395
364	0.7926677704
365	0.7904705683
366	0.7885201136
367	0.787396876
368	0.7862210592
369	0.7847878774
370	0.7838623047
371	0.7825164159
372	0.781952095
373	0.780584081
374	0.7796176275
375	0.7778249105
376	0.7767697652
377	0.776358223
378	0.775550588
379	0.7731739044
380	0.7728544871
381	0.7718985875
382	0.7709471385
383	0.7699495951
384	0.767230924
385	0.7667245865
386	0.7660768509
387	0.7648999532
388	0.7639911652
389	0.76279761
390	0.7615435282
391	0.7603760401
392	0.7597252528
393	0.7585199356
394	0.7578004201
395	0.7570831935
396	0.756584549
397	0.7555686315
398	0.7548100154
399	0.7535651525
400	0.7521682103
401	0.7516075134
402	0.751288859
403	0.7499749502
404	0.7493196487
405	0.748620224
406	0.7474561691
407	0.7455036163
408	0.7435343424
409	0.7426908493
410	0.7423045476
411	0.7416744868
412	0.7407608668
413	0.7403249105
414	0.7394611994
415	0.738586235
416	0.7373972575
417	0.7358605067
418	0.7350035985
419	0.7340520859
420	0.7317131042
421	0.7303920746
422	0.7293832143
423	0.7284266154
424	0.726832962
425	0.7256820043
426	0.7244836171
427	0.7237069448
428	0.7223027547
429	0.7213460286
430	0.7207102458
431	0.7200138092
432	0.7186836243
433	0.718185552
434	0.7169441223
435	0.7158529282
436	0.7148553212
437	0.7142756144
438	0.7139287949
439	0.7130766551
440	0.7119949341
441	0.7109747569
442	0.7096736908
443	0.708989652
444	0.7081865946
445	0.7063767115
446	0.7060821533
447	0.7048451106
448	0.7035203934
449	0.7022834142
450	0.7016064326
451	0.7006091436
452	0.6991569519
453	0.6986584345
454	0.6980426788
455	0.6970678965
456	0.6961848577
457	0.6942438761
458	0.6935501099
459	0.6927969615
460	0.6919165293
461	0.6910173416
462	0.6905249278
463	0.6897626877
464	0.6889640808
465	0.6880850474
466	0.6873162587
467	0.6863997142
468	0.6844125112
469	0.6826251984
470	0.6818147659
471	0.6800228119
472	0.6791624069
473	0.6782886505
474	0.6778532028
475	0.6774593989
476	0.6768042247
477	0.6760768255
478	0.6756343842
479	0.6747814178
480	0.6740556717
481	0.6734934489
482	0.6729447047
483	0.6721270243
484	0.6714158376
485	0.6706796646
486	0.6700558345
487	0.6689410528
488	0.6674956004
489	0.6666373571
490	0.666150856
491	0.6652669907
492	0.6642803192
493	0.6622867584
494	0.6609435399
495	0.6600533803
496	0.6591810226
497	0.6577346802
498	0.6570730845
499	0.6563481013
